id|reuse|existing|saas|dependency|coverage|research|automation|primary|secondary|difficulty|explanation|boundary|ec|questions
R011|PARTIAL_REUSE|中|中|低|NOT_REQUIRED|R1|T1|B|无|业务规则|已有商品生图基础，四类套图各自的规格表达和验收标准仍需适配。|生成白底、场景、规格、卖点图，不推定已有每种模板。|EC01,EC02|Q03
R012|DIRECT_REUSE|高|低|低|NOT_REQUIRED|R1|T0|A|无|业务规则|已有一键详情页能力，可复用核心产物，需适配京喜结构与事实要求。|生成详情图片与结构，写入线上详情另列接口范围。|EC01,EC02|Q03
R013|NO_EXISTING_CAPABILITY|无|中|低|NOT_REQUIRED|R1|T0|C|无|现有能力缺口|现有事实仅证明图片与详情页，视频生成、时序一致性和审核需新能力。|生成视频；媒体上传接口不能代替视频生产能力。|EC01|Q03
R014|PARTIAL_REUSE|高|高|高|PARTIAL|R1|T1|B|D|SaaS工程|批量生成可复用，但替换需逐SKU绑定、部分失败处理及结果复核。|批量生成与替换共同验收，不能仅交生成文件。|EC01,EC02|Q01,Q02,Q10
R015|PARTIAL_REUSE|低|高|核心依赖|PARTIAL|R4|T3|C|D,E|算法|实验创建已有候选，可靠选优还需分流、效果口径、样本和发布规则。|先验证素材实验边界，不能外推到所有经营策略实验。|EC01,EC02|Q01,Q05,Q10,Q18
R016|PARTIAL_REUSE|中|中|高|PARTIAL|R2|T0|B|D|京东数据|素材生成可复用，基于广告效果迭代需要创意与结果的可关联数据。|按已知广告效果生成新创意；持续自主迭代不是原文必然要求。|EC01,EC02|Q01,Q09
R017|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R2|T0|D|C,E|京东数据|站内外商品样本、访问授权与同款标识是识别的前提。|同款与相似品需分开阈值；未发现接口不代表平台无内部能力。|EC01|Q06
R018|NO_EXISTING_CAPABILITY|无|高|核心依赖|NONE_FOUND|R0|T3|D|E|京东数据|实时竞品到手价受地区、人群、促销和刷新时效影响，不能用建议价替代。|先确认可合法获得的竞品数据范围与实时性。|EC01|Q06
R019|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R0|T0|D|C|京东数据|历史展示依赖可信历史价格序列，当前没有明确对应公开数据证据。|历史回溯与今后持续采集是不同路径，不擅自承诺既往历史。|EC01|Q06
R020|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|业务规则|平台建议价不能替代竞品、商家毛利底线和活动约束的联合判断。|输出建议价及依据，不默认回写价格。|EC01|Q01,Q06,Q07,Q08
R021|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R1|T0|C|D|业务规则|实际利润取决于采购、履约、广告、补贴和退款费用的统一归属口径。|区分商家输入的情景测算与真实结算核算，不以估算冒充实际利润。|EC01|Q01,Q07
R022|NO_EXISTING_CAPABILITY|无|低|低|NOT_REQUIRED|R1|T0|C|无|业务规则|ROI底线可按商家明确成本计算，但广告归因和利润口径必须一致。|先提供透明成本模型；缺失成本不猜测。|EC01|Q07
R023|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R2|T3|C|D|京东数据|持续策略需要稳定竞品数据、成本底线与变化触发规则。|原文仅持续给出调价策略，自动改价在授权执行中另行定义。|EC01|Q01,Q06,Q07,Q08
R024|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|D|C|京东数据|通用报表未证实SKU曝光点击及渠道口径，广告CTR不能代表全域商品CTR。|输出可解释低点击诊断，先确认分母、时间窗口与样本阈值。|EC01|Q01,Q05
R025|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|D|C|京东数据|点击与成交必须对齐SKU、渠道和归因窗口，才能判定转化不足。|区分访问、点击、订单及支付转化口径。|EC01|Q01,Q05
R026|PARTIAL_REUSE|中|中|高|PARTIAL|R2|T0|B|D|京东数据|商品信息优化可复用，搜索词表现与首屏素材效果仍依赖平台数据。|先优化商品信息，搜索增长结论需关键词与流量证据。|EC01,EC02,EC03|Q01,Q02,Q03,Q05
R027|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|D|C|京东数据|商机热度不证明推荐曝光不足，需推荐渠道曝光与转化明细。|按推荐流量缺口排序，不能用全域销量替代推荐效率。|EC01|Q01,Q05
R028|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|D|C|京东数据|可放大SKU需要渠道边际表现与供给承接能力，不能只按当前销量排序。|与商品经营潜力SKU共享事实但分开评价目标。|EC01|Q01,Q04,Q05
R029|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|业务规则|跨搜索、推荐与广告的方案需要预算和目标约束及各渠道证据。|输出组合建议，不承诺必然获得增量流量。|EC01|Q01,Q05,Q09
R030|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R1|T0|D|E|业务规则|十类活动的适用店铺、商品门槛和实时资格需官方规则及资格结果。|CLI流程可供规则对接，但其实现与权限未获证实。|EC01|Q08
R031|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|C|D,E|业务规则|最适合活动依赖资格、库存、利润与冲突规则，库存读取只覆盖一部分。|明确排序目标与不可参加条件，再推荐活动。|EC01|Q01,Q07,Q08
R032|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R3|T0|C|D,E|算法|预期GMV属于预测，需要历史活动样本、费用规则和不确定性区间。|区分假设情景计算与可验证预测，不能保证活动收益。|EC01|Q01,Q05,Q07,Q08
R033|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R1|T0|E|D|业务规则|事后价保单不能替代报名前的叠加、价保和补贴冲突判定。|以官方可执行规则或校验结果为准，不能仅靠通用促销推断。|EC01|Q08
R034|NO_EXISTING_CAPABILITY|无|中|高|NONE_FOUND|R0|T0|D|E|京东接口|线上报名动作与审核结果未获接口证实，底表路径仍需活动模板。|可交付底表路径；直接报名路径单独待确认，不将两者混称成功报名。|EC01|Q08
R035|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|C|D|京东数据|活动上报接口不返回复盘数据，需活动关联成交费用和对比基线。|前后变化可描述，因果增量需合适对照与干扰控制。|EC01|Q01,Q05,Q07,Q08,Q18
R036|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|京东数据|广告选品需SKU历史表现、毛利和库存，计划报表不能完整代表SKU潜力。|输出选品依据与约束，不以历史高ROI保证未来表现。|EC01|Q01,Q05,Q07,Q09
R037|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|业务规则|预算、出价和ROI目标必须与成本、投放场景及账户约束一致。|方案先形成可审核参数，创建动作另行承接。|EC01|Q01,Q07,Q09
R038|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R0|T0|C|D|京东接口|已有创建候选，但非标准接口合同、必填配置和京喜广告产品适用性需确认。|创建结果与启投状态分开验证，不推断接口名即代表可直接调用。|EC01|Q01,Q09
R039|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R3|T4|C|D|算法|带延迟归因的实时反馈下调整预算、出价与ROI，需优化约束和稳定性控制。|T4为授权自动模式目标；实时性与ROI可写参数尚待确认。|EC01|Q01,Q09,Q17
R040|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R2|T4|C|D|授权 / 风控|高ROI不保证扩量后边际收益，必须限制预算增幅并监测回落。|扩大预算是原文动作，是否无人值守由授权策略确认。|EC01|Q01,Q09,Q17
R041|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R1|T4|C|D|授权 / 风控|止损需兼顾归因延迟与误停风险，并确认降预算或暂停的生效回执。|以暂停/降预算为动作，不扩展为删除广告计划。|EC01|Q01,Q09,Q17
R042|PARTIAL_REUSE|中|低|低|NOT_REQUIRED|R1|T0|B|无|业务规则|已有素材能力可扩展广告图片与卖点，广告规格和商品事实需适配。|单次生成不强制依赖广告效果；区别于R016的效果驱动创意。|EC01,EC02,EC03|Q03
R043|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R2|T0|D|C,E|京东接口|出现关键词列表不证明支持既有关键词增删及词级效果读取。|先确认词级数据与增删动作合同，再实施关键词优化。|EC01|Q01,Q09
R044|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|京东数据|计划曝光点击已有字段，GMV、ROI、消耗仍需明确类型、单位和归因规则。|按统一广告口径复盘，不把广告成交等同全店成交。|EC01|Q01,Q09
R045|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R2|T0|D|E|业务规则|下一星级差距与最短提升路径依赖星级模型、阈值和可改善项。|先形成规则下的优先路径，不承诺未经定义的全局最短。|EC01|Q14
R046|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|京东数据|聊天与绩效可用作诊断基础，但排班空档需计划班表与实际在线状态对照。|分别验收超时、高频问题和排班，不以在线状态替代排班。|EC01|Q01,Q11
R047|NO_EXISTING_CAPABILITY|无|中|高|NONE_FOUND|R1|T0|C|D|京东接口|生成回复是内容能力，配置到客服模板库需要专门写入合同。|消息发送接口不能替代模板配置；人工复制可作缩小范围的路径。|EC01|Q12
R048|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|C|D|业务规则|订单与轨迹可提供基础事实，揽收率及延迟发货需统一应履约集合和时限。|将原始物流事实与平台考核指标分开，避免口径不一致。|EC01|Q01,Q13
R049|NO_EXISTING_CAPABILITY|无|中|中|FULL|R1|T0|C|D|业务规则|原因读取只是输入，解决方案仍要符合售后政策和商家可执行边界。|提供诊断建议，不自动退款或审核售后。|EC01|Q01,Q13
R050|NO_EXISTING_CAPABILITY|无|低|低|NOT_REQUIRED|R1|T0|C|无|业务规则|沟通内容需真实售后情境与政策依据，避免虚构赔付承诺。|用户提供场景后生成话术，发送消息不属于原文明确要求。|EC01|Q13
R051|NO_EXISTING_CAPABILITY|无|中|核心依赖|NONE_FOUND|R1|T0|D|E|业务规则|经营层级指标及升级阈值未明确开放，不能从店铺资料推导等级差距。|与星级体系分别确认，不能共用未经证实的规则。|EC01|Q14
R052|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|C|D|京东数据|页面优化需要页面结构、流量路径和转化数据，仅店铺总指标不足以定位页面问题。|先交结构建议；若要求直接发布装修需新增动作确认。|EC01|Q01,Q05,Q15
R053|NO_EXISTING_CAPABILITY|无|高|高|PARTIAL|R2|T2|C|D,E|京东接口|会员与人群数据有基础，招募、权益配置和触达结果尚未形成完整运营链。|T2是周期运营建议形态；自动招募及触达须明确授权与规则。|EC01|Q01,Q16
R054|UNKNOWN|无|高|低|NOT_REQUIRED|R1|T3|C|无|自动化基础设施|成熟SaaS基座不证明已有冲突仲裁、优先队列和任务生命周期管理。|编排可在我方实现；京麦任务同步只是可选集成，非执行引擎证据。|EC01|Q17
R055|UNKNOWN|无|高|核心依赖|PARTIAL|R0|T4|C|D,E|授权 / 风控|跨商品价格活动广告的自动动作需逐工具授权、生效核验和异常控制。|仅在明确授权内执行；缺少某一动作接口就不能承诺全域闭环。|EC01|Q01,Q02,Q08,Q09,Q17
R056|UNKNOWN|无|高|核心依赖|PARTIAL|R2|T3|C|D|京东数据|任务成功记录不证明经营改善，需动作关联指标及可观察结果窗口。|复检区分状态生效和指标变化，不擅自追加自动执行下一步。|EC01|Q01,Q05,Q09,Q17,Q18
R057|UNKNOWN|无|中|高|PARTIAL|R2|T2|C|D|京东数据|周期报告需要跨域指标口径、刷新时间与完整性，生成文字本身不是主要限制。|输出缺失数据及口径说明；日报周报不等于要求实时采集。|EC01|Q01,Q05,Q07,Q09
R058|NO_EXISTING_CAPABILITY|无|高|核心依赖|PARTIAL|R4|T3|E|C,D|算法|经营策略实验涉及跨工具分组、干扰和归因，素材实验接口不能覆盖全部场景。|先联合定义可控实验单元、对照和停止条件。|EC01|Q01,Q10,Q18
R059|UNKNOWN|无|高|核心依赖|PARTIAL|R4|T5|C|D,E|算法|历史动作结果可能有选择偏差，持续学习需要可靠反馈及策略版本评价。|T5表示动作结果策略的目标反馈链，不证明已有学习系统或自动发布能力。|EC01|Q01,Q05,Q17,Q18
R060|UNKNOWN|无|高|核心依赖|PARTIAL|R2|T3|C|D|自动化基础设施|异常检测需持续可靠数据、去重触发和任务冲突处理，不能只增加通知规则。|自动触发任务与自动改变京东状态分开授权。|EC01|Q01,Q05,Q17

